,Gene,Color
0,TRAV1,#4c72b0
1,TRAV10,#dd8452
2,TRAV10D,#55a868
3,TRAV10N,#c44e52
4,TRAV11,#8172b3
5,TRAV11D,#937860
6,TRAV12-1,#da8bc3
7,TRAV12-2,#8c8c8c
8,TRAV12-3,#ccb974
9,TRAV12D-1,#64b5cd
10,TRAV12D-2,#4c72b0
11,TRAV12D-3,#dd8452
12,TRAV12N-1,#55a868
13,TRAV12N-2,#c44e52
14,TRAV13-1,#8172b3
15,TRAV13-2,#937860
16,TRAV13-4-DV7,#da8bc3
17,TRAV13D-1,#8c8c8c
18,TRAV13D-2,#ccb974
19,TRAV13D-3,#64b5cd
20,TRAV13D-4,#4c72b0
21,TRAV13N-1,#dd8452
22,TRAV13N-2,#55a868
23,TRAV13N-3,#c44e52
24,TRAV13N-4,#8172b3
25,TRAV14-1,#937860
26,TRAV14-2,#da8bc3
27,TRAV14-3,#8c8c8c
28,TRAV14D-1,#ccb974
29,TRAV14D-2,#64b5cd
30,TRAV14D-3-DV8,#4c72b0
31,TRAV14N-1,#dd8452
32,TRAV14N-2,#55a868
33,TRAV14N-3,#c44e52
34,TRAV15-1-DV6-1,#8172b3
35,TRAV15-2-DV6-2,#937860
36,TRAV15D-1-DV6D-1,#da8bc3
37,TRAV15D-2-DV6D-2,#8c8c8c
38,TRAV15N-1,#ccb974
39,TRAV15N-2,#64b5cd
40,TRAV16,#4c72b0
41,TRAV16D-DV11,#dd8452
42,TRAV16N,#55a868
43,TRAV17,#c44e52
44,TRAV18,#8172b3
45,TRAV19,#937860
46,TRAV2,#da8bc3
47,TRAV21-DV12,#8c8c8c
48,TRAV3-1,#ccb974
49,TRAV3-3,#64b5cd
50,TRAV3-4,#4c72b0
51,TRAV3D-3,#dd8452
52,TRAV3N-3,#55a868
53,TRAV4-2,#c44e52
54,TRAV4-3,#8172b3
55,TRAV4-4-DV10,#937860
56,TRAV4D-3,#da8bc3
57,TRAV4D-4,#8c8c8c
58,TRAV4N-3,#ccb974
59,TRAV4N-4,#64b5cd
60,TRAV5-1,#4c72b0
61,TRAV5-4,#dd8452
62,TRAV5D-4,#55a868
63,TRAV5N-4,#c44e52
64,TRAV6-1,#8172b3
65,TRAV6-2,#937860
66,TRAV6-3,#da8bc3
67,TRAV6-4,#8c8c8c
68,TRAV6-5,#ccb974
69,TRAV6-6,#64b5cd
70,TRAV6-7-DV9,#4c72b0
71,TRAV6D-3,#dd8452
72,TRAV6D-4,#55a868
73,TRAV6D-5,#c44e52
74,TRAV6D-6,#8172b3
75,TRAV6D-7,#937860
76,TRAV6N-5,#da8bc3
77,TRAV6N-6,#8c8c8c
78,TRAV6N-7,#ccb974
79,TRAV7-1,#64b5cd
80,TRAV7-2,#4c72b0
81,TRAV7-3,#dd8452
82,TRAV7-4,#55a868
83,TRAV7-5,#c44e52
84,TRAV7-6,#8172b3
85,TRAV7D-2,#937860
86,TRAV7D-3,#da8bc3
87,TRAV7D-4,#8c8c8c
88,TRAV7D-5,#ccb974
89,TRAV7N-4,#64b5cd
90,TRAV7N-5,#4c72b0
91,TRAV7N-6,#dd8452
92,TRAV8-1,#55a868
93,TRAV8D-1,#c44e52
94,TRAV8D-2,#8172b3
95,TRAV8N-2,#937860
96,TRAV9-1,#da8bc3
97,TRAV9-2,#8c8c8c
98,TRAV9-4,#ccb974
99,TRAV9D-1,#64b5cd
100,TRAV9D-2,#4c72b0
101,TRAV9D-3,#dd8452
102,TRAV9D-4,#55a868
103,TRAV9N-2,#c44e52
104,TRAV9N-3,#8172b3
105,TRAV9N-4,#937860
106,TRBV1,#4c72b0
107,TRBV10,#dd8452
108,TRBV12-1,#55a868
109,TRBV12-2,#c44e52
110,TRBV12-2+TRBV13-2,#8172b3
111,TRBV13-1,#937860
112,TRBV13-2,#da8bc3
113,TRBV13-3,#8c8c8c
114,TRBV14,#ccb974
115,TRBV15,#64b5cd
116,TRBV16,#4c72b0
117,TRBV17,#dd8452
118,TRBV19,#55a868
119,TRBV2,#c44e52
120,TRBV20,#8172b3
121,TRBV23,#937860
122,TRBV26,#da8bc3
123,TRBV29,#8c8c8c
124,TRBV3,#ccb974
125,TRBV30,#64b5cd
126,TRBV31,#4c72b0
127,TRBV5,#dd8452
128,TRAJ11,#4c72b0
129,TRAJ12,#dd8452
130,TRAJ13,#55a868
131,TRAJ15,#c44e52
132,TRAJ16,#8172b3
133,TRAJ17,#937860
134,TRAJ18,#da8bc3
135,TRAJ2,#8c8c8c
136,TRAJ21,#ccb974
137,TRAJ22,#64b5cd
138,TRAJ23,#4c72b0
139,TRAJ24,#dd8452
140,TRAJ26,#55a868
141,TRAJ27,#c44e52
142,TRAJ28,#8172b3
143,TRAJ30,#937860
144,TRAJ31,#da8bc3
145,TRAJ32,#8c8c8c
146,TRAJ33,#ccb974
147,TRAJ34,#64b5cd
148,TRAJ35,#4c72b0
149,TRAJ37,#dd8452
150,TRAJ38,#55a868
151,TRAJ39,#c44e52
152,TRAJ4,#8172b3
153,TRAJ40,#937860
154,TRAJ42,#da8bc3
155,TRAJ43,#8c8c8c
156,TRAJ44,#ccb974
157,TRAJ45,#64b5cd
158,TRAJ47,#4c72b0
159,TRAJ48,#dd8452
160,TRAJ49,#55a868
161,TRAJ5,#c44e52
162,TRAJ50,#8172b3
163,TRAJ52,#937860
164,TRAJ53,#da8bc3
165,TRAJ56,#8c8c8c
166,TRAJ57,#ccb974
167,TRAJ58,#64b5cd
168,TRAJ6,#4c72b0
169,TRAJ7,#dd8452
170,TRAJ9,#55a868
171,TRBJ1-1,#4c72b0
172,TRBJ1-2,#dd8452
173,TRBJ1-3,#55a868
174,TRBJ1-4,#c44e52
175,TRBJ1-5,#8172b3
176,TRBJ1-6,#937860
177,TRBJ2-1,#da8bc3
178,TRBJ2-2,#8c8c8c
179,TRBJ2-3,#ccb974
180,TRBJ2-4,#64b5cd
181,TRBJ2-5,#4c72b0
182,TRBJ2-7,#dd8452
